type	Organization	Symbol	Greek or Latin crest writing[1]	Founded	Affiliation	Traditional emphasis
Fraternities	Iota Phi Theta	___		1963	"NIC, NPHC"	African-American
Fraternities	Kappa Alpha Order (Chapters)	__	DIEU ES LES DAMES (God and the ladies) 	1865	NIC	Traditional/social
Fraternities	Kappa Alpha Society (Chapters)	__		1825	NIC	"Originally literary society, traditional/social"
Fraternities	Kappa Alpha Psi (Chapters)	___	_________  [sic] ___ ________π___ ______ π_____  [sic] (perfection for the true belief in philanthrophy) 	1911	"NIC, NPHC"	African-American
Fraternities	Kappa Delta Phi (Chapters)	___	__ππ_ _____ __ (Kappa Delta Phi) 	1900	NIC	Traditional
Fraternities	Kappa Delta Rho (Chapters)	___	Honor Super Omnia (Above all honor) 	1905	NIC	Traditional
Fraternities	Kappa Kappa Kappa	___		1842	"Local, Dartmouth College"	Traditional
Fraternities	Kappa Sigma (Chapters)	__	_____	1869	Unaffiliated international	Traditional
Fraternities	Lambda Alpha Upsilon (Chapters)	___	Venceremos Porque Nacimos Para Triunfar (We will overcome because we are born to triumph) 	1985	NALFO	Latino
Fraternities	Lambda Chi Alpha (Chapters)	___	PER CRUSCEM CRESCENS VIR QUISQUE VIR (Crescent in the Cross Every man a man) 	1909	Unaffiliated international	Traditional
Fraternities	Lambda Iota Society	__		1836	"Local, University of Vermont"	"Originally secret literary society, traditional"
Fraternities	Lambda Phi Epsilon (Chapters)	___	________ __ ____Ω____ _____ (Leaders Among Men) 	1981	"NIC, NAPA"	Asian
Fraternities	Lambda Sigma Upsilon (Chapters)	___	Latinos Siempre Unidos (Latinos Always United) 	1979	"NALFO, NIC"	Latino
Fraternities	Lambda Theta Phi (Chapters)	___		1975	"NALFO, NIC"	Latino
Fraternities	Lambda Upsilon Lambda (Chapters)	___	La Unidad Para Siempre (The Unity For Ever) 	1982	NALFO	Latino
Fraternities	Nu Alpha Kappa (Chapters)	___		1988	NIC	Latino
Fraternities	Nu Sigma Beta	___		1937	CIPFI	Puerto Rican
Fraternities	Omega Delta Phi (Chapters)	Ω__	UNUS PROBITAS INTEGRITAS DUCTUS (One honest integrous leadership ) 	1987	NIC	"Originally Latino, now multicultural"
Fraternities	Omega Phi Gamma	Ω__	______ __ _____ ________ _______ _____ (_ound by Honor Rise above All) (Latin phrase written in Greek characters) 	1995	MGC	"Asian, multicultural"
Fraternities	Omega Psi Phi (Chapters)	Ω__		1911	NPHC	African-American
Fraternities	Phi Beta Sigma (Chapters)	___		1914	"NIC, NPHC"	African-American
Fraternities	Phi Delta Alpha	___		1884	"Local, Dartmouth College"	Traditional
Fraternities	Phi Delta Gamma	___		1942	CIPFI	Puerto Rican
Fraternities	Phi Delta Psi	___		1977	Unaffiliated national	African-American
Fraternities	Phi Delta Theta (Chapters)	___	___ ____ ______ ____ (One man is no man) 	1848	Unaffiliated international	"Originally nonsectarian, traditional"
Fraternities	Phi Epsilon Chi	___	Yo soy Phi Epsilon de corazón (I am Phi Epsilon from the heart) 	1943	CIPFI	Puerto Rican
Fraternities	Phi Eta Kappa	___		1906	"Local, University of Maine"	Traditional
Fraternities	Phi Eta Mu	___		1923	CIPFI	Puerto Rican
Fraternities	Phi Gamma Delta (Chapters)	FIJI	_______ _________ _________ (Beloved Sweetest Dynasty) 	1848	NIC	Traditional
Fraternities	Phi Iota Alpha (Chapters)	___	SEMPER PARATI SEMPER JUNCTI (Always ready always joined) 	1931	NIC	Latino
Fraternities	Phi Kappa Pi	___	__________ _________ ___________ (We are raised Canadians in philadelphy) 	1913	"Unaffiliated, Canadian national"	Traditional
Fraternities	Phi Kappa Psi (Chapters)	___		1852	NIC	"Originally service, traditional"
Fraternities	Phi Kappa Sigma (Chapters)	___	STELLIS AEQUUS DURANDO (Equal to the Stars in Endurance) 	1850	NIC	"Originally secret order, traditional"
Fraternities	Phi Kappa Tau (Chapters)	___	_____ ____ _ ___ _____ (Is worthy of the victory) 	1906	NIC	Traditional
Fraternities	Phi Kappa Theta (Chapters)	___		1889	NIC	"Originally Catholic, Traditional "
Fraternities	Phi Lambda Chi (Chapters)	___		1925	NIC	Traditional
Fraternities	Phi Mu Alpha Sinfonia	___		1898	NIMC	Music
Fraternities	Phi Mu Delta (Chapters)	___		1918	NIC	"Originally Commons Club, traditional"
Fraternities	Phi Rho Eta	___		1994	Unaffiliated national	African-American
Fraternities	Phi Sigma Alpha (Chapters)	___	OMNE RARUM CARUM (all that is rare is wanted) 	1928	CIPFI	Puerto Rican/Hispanic
Fraternities	Phi Sigma Gamma	___		1915-1916	Unaffiliated national	Osteopathic medicine
Fraternities	Phi Sigma Kappa (Chapters)	___		1873	NIC	Traditional
Fraternities	Phi Sigma Nu	___		1996	Unaffiliated national	Native American
Fraternities	Phi Sigma Phi	___	__ _____ __	1988	NIC	Traditional
Fraternities	Pi Alpha Phi (Chapters)	___	__ ____ __	1929	NAPA	Asian
Fraternities	Pi Delta Psi (Chapters)	___		1994	NAPA	Asian
Fraternities	Pi Kappa Alpha	___		1868	NIC	Traditional
Fraternities	Pi Kappa Phi (Chapters)	___	_____ _________ ____ (Nothing shall tear us) 	1904	NIC	Traditional
Fraternities	Pi Lambda Phi (Chapters)	___	NOSTROS AMEMUS (love our own) 	1895	NIC	Traditional
Fraternities	Psi Sigma Phi (Chapters)	___		1990	NMGC	Multicultural
Fraternities	Psi Upsilon (Chapters)	__	____ ________ ______ _____ (Unto us has befallen a mighty friendship) 	1833	NIC	Traditional
Fraternities	Seal and Serpent			1905	"Local, Cornell University"	Traditional
Fraternities	Sigma Alpha Epsilon (Chapters)	___	_____ ____ ______	1856	NIC	Traditional
Fraternities	Sigma Alpha Mu (Chapters)	___	_____ ____ __	1909	NIC	"Originally Jewish, now traditional"
Fraternities	Sigma Beta Rho (Chapters)	___		1996	"NIC, NAPA"	Multicultural
Fraternities	Sigma Chi (Chapters)	__	In Hoc Signo Vinces (In This Sign You Shall Conquer) 	1855	NIC	"Originally literary society, traditional"
Fraternities	Sigma Delta Alpha	___	Excelencia Y Lealtad Entre Hermanos (Excellence and Loyalty Amongst Brothers) 	1992	Unaffiliated national	Latino
Fraternities	Sigma Lambda Beta (Chapters)	___		1986	Unaffiliated national	Latino
Fraternities	Sigma Nu (Chapters)	__		1869	NIC	"Originally anti-hazing, traditional"
Fraternities	Sigma Phi Delta (Chapters)	___	_____ __ _____	1924	NIC	Engineering
Fraternities	Sigma Phi Epsilon (Chapters)	___	_____ __ ______	1901	NIC	Traditional
Fraternities	Sigma Phi Society	__		1827	NIC	"Originally secret society, traditional"
Fraternities	Sigma Pi (Chapters)	__	_______ ______ (Reverend Faith) 	1897	NIC	"Originally literary society, traditional"
Fraternities	Sigma Tau Gamma (Chapters)	___		1920	NIC	"Originally literary society, traditional"
Fraternities	Sigma Thêta Pi	___	"Fraternitas, animi excelsitas ac dignitas (Fraternity, height and dignity of the soul) "	2003	Unaffiliated national	Francophone Greek
Fraternities	Tau Delta Phi	___	___ _____ __	1910	NIC	Jewish social
Fraternities	Tau Epsilon Phi (Chapters)	___	___ ______ __	1910	NIC	Jewish social
Fraternities	Tau Kappa Epsilon (Chapters)	___		1899	Unaffiliated international	Traditional
Fraternities	Tau Phi Sigma	___		1992	NIC	"Service and social, multicultural"
Fraternities	Tau Psi Omega	__Ω		1996	MGC	"Multicultural, community service based"
Fraternities	Theta Chi (Chapters)	__	________ ____ (Assisting Hand) 	1856	NIC	Traditional/social
Fraternities	Theta Delta Chi (Chapters)	___	________ _____ _______ (Having united will) 	1847	NIC	"Originally secret society, traditional/social"
Fraternities	Theta Xi (Chapters)	__	Juncti Juvant (United they Serve) 	1864	NIC	"Originally engineering, social"
Fraternities	Triangle Fraternity (Chapters)		Veritas Omnia Vincit (Truth Conquers All) 	1907	NIC	"Engineering, architecture, and science"
Fraternities	Trojan Knights			1921	"Local, University of Southern California"	Traditional
Fraternities	Zeta Beta Tau (Chapters)	___		1898	NIC	"Originally Jewish, traditional (no religious affiliation)"
Fraternities	Zeta Phi Rho	___		1995	Unaffiliated national	Multicultural
Fraternities	Zeta Psi (Chapters)	__		1847	NIC	Traditional/social
Sororities	Alpha Chi Omega	__Ω	___π_________ __ _______ (Together Let Us Seek the Heights[2]) 	1885	NPC	"Originally music, now traditional"
Sororities	Alpha Delta Chi	___	Katoptriozomai (Reflected in mirror) (Greek in Latin characters writing) 	1925	Unaffiliated	Christian
Sororities	Alpha Delta Pi	___	_____ ________ (We live for each other) 	1851	NPC	"Originally secret society, traditional"
Sororities	Alpha Epsilon Phi	___	____ ______ __	1909	NPC	"Originally Jewish, traditional"
Sororities	Alpha Gamma Delta (Chapters)	___	____ _____ _____	1904	NPC	Traditional
Sororities	Alpha Kappa Alpha	___	_________ __________	1908	NPHC	African-American
Sororities	Alpha Kappa Delta Phi	____		1990	NAPA	Asian
Sororities	Alpha Nu Omega	__Ω		1988	UCCFS	Christian
Sororities	Alpha Omega Epsilon (Chapters)	_Ω_		1983	PFA	Professional and social; engineering and technical sciences
Sororities	Alpha Omicron Pi	___		1897	NPC	Traditional
Sororities	Alpha Phi	__	______ _____ __ _____ (Union hand in hand) 	1872	NPC	Traditional
Sororities	Alpha Phi Gamma	___	_____ __π__ __π__ [sic]	1994	NAPA	Asian
Sororities	Alpha Pi Omega	__Ω		1994	Unaffiliated	Native American
Sororities	Alpha Sigma Alpha (Chapters)	___	"______ ________ _______ (Aspire, seek, attain) "	1901	NPC	
Sororities	Alpha Sigma Kappa	___		1989	Unaffiliated national	"Math, architecture, engineering, and science"
Sororities	Alpha Sigma Rho	___		1998	NAPA	Asian
Sororities	Alpha Sigma Tau	___	____ _____ ___	1899	NPC	Traditional
Sororities	Alpha Xi Delta	___	"____ __ _____ (""Realize your potential"") "	1893	NPC	Traditional
Sororities	Beta Sigma Phi	___	"VITA SCIENTIA AMICITIA (Life, Learning and Friendship) "	1931	Unaffiliated	Traditional
Sororities	Ceres			1984	Unaffiliated	Agricultural
Sororities	Chi Omega	_Ω		1895	NPC	Traditional
Sororities	Chi Upsilon Sigma	___		1980	NALFO	Latina
Sororities	Delta Alpha Theta	___		2005	Unaffiliated national	Multicultural
Sororities	Delta Delta Delta	___	_______ ___π____ _______ (we steadfastly love one another) 	1888	NPC	Traditional
Sororities	Delta Gamma	__		1873	NPC	Traditional
Sororities	Delta Kappa Delta	___		1999	NAPA	South Asian
Sororities	Delta Phi Epsilon	___	ESSE QUAM VIDERI (To be rather than to seem to be) 	1917	NPC	Non-sectarian
Sororities	Delta Phi Lambda	___		1998	NAPA	Asian
Sororities	Delta Phi Omega	__Ω		1998	NAPA	South Asian
Sororities	Delta Psi Epsilon	___	_____ ___ _______ [sic]	1999	UCCFS	Christian
Sororities	Delta Sigma Chi	___		1996	Unaffiliated national	Multicultural
Sororities	Delta Sigma Theta	___	_____ _____ ____ [sic]	1913	NPHC	African-American
Sororities	Delta Tau Lambda	___	_____ ___ ______	1994	Unaffiliated national	Latina
Sororities	Delta Theta Tau	___		1903	Unaffiliated national	Multicultural
Sororities	Delta Xi Nu	___		1997	Unaffiliated national	Multicultural
Sororities	Delta Xi Phi	___	_____ __ __	1994	NMGC	Multicultural
Sororities	Delta Zeta	__	___ ________ __π____ (Via strong fire) 	1902	NPC	Traditional
Sororities	Eta Gamma Delta	___		1928	CIPFI	Puerto Rican
Sororities	Gamma Alpha Omega	__Ω	Nos Una Crescemus (United We Will Grow) 	1993	NALFO	Latina
Sororities	Gamma Eta	__		1995	NMGC	Multicultural
Sororities	Gamma Phi Beta	___		1874	NPC	Traditional
Sororities	Gamma Rho Lambda	___		2003	Unaffiliated national	LGBTQ
Sororities	Kappa Alpha Theta	___	_____ ____ ____	1870	NPC	Traditional
Sororities	Kappa Beta Gamma	___		1917	Unaffiliated international	Traditional
Sororities	Kappa Delta	__	__ ____ ________ (Seeking the good) 	1897	NPC	Traditional
Sororities	Kappa Delta Chi	___		1987	NALFO	Latina
Sororities	Kappa Kappa Gamma	___		1870	NPC	Traditional
Sororities	Kappa Phi Lambda	___	"FRATERNITE SERVITIUM VARIETAS (Sisterhood, Service, Diversity) "	1995	NAPA	Asian
Sororities	Kappa Theta Epsilon	___	________ ___π____ _______ (Reach New Heights) (Latin phrase written in Greek characters) 	2009	Unaffiliated national	Lesbian
Sororities	Lambda Pi Chi	___		1988	NALFO	Latina
Sororities	Lambda Pi Upsilon	___		1992	NALFO	Latina
Sororities	Lambda Psi Delta	___		1997	NMGC	Multicultural
Sororities	Lambda Sigma Gamma	___		1986	NMGC	Multicultural
Sororities	Lambda Tau Omega	__Ω		1988	NMGC	Multicultural
Sororities	Lambda Theta Alpha	___		1975	NALFO	Latina
Sororities	Lambda Theta Nu	___		1986	NALFO	Latina
Sororities	Mu Alpha Phi	___		1927	CIPFI	Puerto Rican
Sororities	Mu Epsilon Theta	___		1987	Unaffiliated national	Catholic
Sororities	Mu Sigma Upsilon	___	Mujeres Siempre Unidas (Women Always United) 	1981	NMGC	Multicultural
Sororities	National Society of Pershing Angels			1962	Unaffiliated	Military drill
Sororities	Omega Phi Beta	Ω__		1989	NALFO	Multicultural
Sororities	Omega Phi Chi	Ω__		1988	NMGC	Multicultural
Sororities	Omicron Epsilon Pi	___		2000	Unaffiliated	African American
Sororities	Phi Beta Chi	___	Amor Via Vitae in Christo (Love through Life in Christ) 	1978	Unaffiliated national	Lutheran
Sororities	Phi Mu (Chapters)	__	Les Soeurs Fideles (The Faithful Sisters) 	1852	NPC	Traditional
Sororities	Phi Sigma Rho	___	____ ________ __ ______ (Together we are building the future) 	1984	Unaffiliated national	Engineering
Sororities	Phi Sigma Sigma (Chapters)	___	_______ _____ (Aim high) 	1913	NPC	Non-sectarian
Sororities	Pi Beta Phi (Chapters)	___		1867	NPC	"Originally secret, traditional"
Sororities	Sigma Alpha	__		1978	PFA	Agriculture
Sororities	Sigma Alpha Epsilon Pi	____		1998	Unaffiliated national	Jewish
Sororities	Sigma Alpha Omega	__Ω		1998	Unaffiliated national	Christian
Sororities	Sigma Delta Tau	___	Patriae Multae Spes Una (One Hope of Many People) 	1917	NPC	Non-sectarian
Sororities	Sigma Gamma Rho	___		1922	NPHC	African-American
Sororities	Sigma Iota Alpha	___	Semper Unum et Inseparabilis (Always One and Inseparable) 	1990	NALFO	Latina
Sororities	Sigma Kappa	__		1874	NPC	Traditional
Sororities	Sigma Lambda Alpha	___		1992	Unaffiliated national	Latina
Sororities	Sigma Lambda Gamma (Chapters)	___		1990	Unaffiliated national	Latina
Sororities	Sigma Lambda Upsilon	___		1987	NALFO	Latina
Sororities	Sigma Omicron Epsilon	___		1997	Unaffiliated	Native American
Sororities	Sigma Omicron Pi	___		1930	NAPA	Asian
Sororities	Sigma Phi Lambda	___		1988	Unaffiliated national	Christian
Sororities	Sigma Phi Omega	__Ω		1949	Unaffiliated national	Asian
Sororities	Sigma Pi Alpha	___		1996	Unaffiliated	Chicana/Latina
Sororities	Sigma Psi Zeta	___		1994	NAPA	Asian
Sororities	Sigma Sigma Sigma	___	______ ___ _______ (Faithful unto death) 	1898	NPC	Traditional
Sororities	Theta Nu Xi	___		1997	NMGC	Multicultural
Sororities	Theta Phi Alpha	___		1912	NPC	"Originally Catholic, traditional"
Sororities	Zeta Chi Phi	___		2003	Unaffiliated national	Multicultural
Sororities	Zeta Phi Beta	___	π____ _______ ____ (labour always wins) 	1920	NPHC	African-American
Sororities	Zeta Sigma Chi	___	π______ _____ __ ______ _______ π_________ (Paideia I am keeping the dream alive Culture) 	1991	Unaffiliated national	Multicultural
Sororities	Zeta Tau Alpha	___		1898	NPC	Traditional
