source	species	name
Birds	Anatidae (ducks, geese, and swans)	Mandarin duck
Birds	Anatidae (ducks, geese, and swans)	Maned duck
Birds	Anatidae (ducks, geese, and swans)	African pygmy goose
Birds	Anatidae (ducks, geese, and swans)	Cotton pygmy goose
Birds	Anatidae (ducks, geese, and swans)	Green pygmy goose
Birds	Anatidae (ducks, geese, and swans)	Brazilian teal
Birds	Anatidae (ducks, geese, and swans)	Ringed teal
Birds	Anatidae (ducks, geese, and swans)	Crested duck
Birds	Anatidae (ducks, geese, and swans)	Bronze-winged duck
Birds	Anatidae (ducks, geese, and swans)	Cape teal
Birds	Anatidae (ducks, geese, and swans)	Gadwall
Birds	Anatidae (ducks, geese, and swans)	Falcated duck
Birds	Anatidae (ducks, geese, and swans)	Chiloe wigeon
Birds	Anatidae (ducks, geese, and swans)	Eurasian wigeon
Birds	Anatidae (ducks, geese, and swans)	American wigeon
Birds	Anatidae (ducks, geese, and swans)	Amsterdam wigeon
Birds	Anatidae (ducks, geese, and swans)	African black duck
Birds	Anatidae (ducks, geese, and swans)	American black duck
Birds	Anatidae (ducks, geese, and swans)	Mallard
Birds	Anatidae (ducks, geese, and swans)	Mottled duck
Birds	Anatidae (ducks, geese, and swans)	Mexican duck
Birds	Anatidae (ducks, geese, and swans)	Hawaiian duck
Birds	Anatidae (ducks, geese, and swans)	Laysan duck
Birds	Anatidae (ducks, geese, and swans)	Philippine duck
Birds	Anatidae (ducks, geese, and swans)	Pacific black duck
Birds	Anatidae (ducks, geese, and swans)	Indian spot-billed duck
Birds	Anatidae (ducks, geese, and swans)	Eastern spot-billed duck
Birds	Anatidae (ducks, geese, and swans)	Yellow-billed duck
Birds	Anatidae (ducks, geese, and swans)	Meller's duck
Birds	Anatidae (ducks, geese, and swans)	Blue-winged teal
Birds	Anatidae (ducks, geese, and swans)	Cinnamon teal
Birds	Anatidae (ducks, geese, and swans)	Cape shoveler
Birds	Anatidae (ducks, geese, and swans)	Red shoveler
Birds	Anatidae (ducks, geese, and swans)	Australasian shoveler
Birds	Anatidae (ducks, geese, and swans)	Northern shoveler
Birds	Anatidae (ducks, geese, and swans)	Bernier's teal
Birds	Anatidae (ducks, geese, and swans)	Mascarene teal
Birds	Anatidae (ducks, geese, and swans)	Sunda teal
Birds	Anatidae (ducks, geese, and swans)	Andaman teal
Birds	Anatidae (ducks, geese, and swans)	Grey teal
Birds	Anatidae (ducks, geese, and swans)	Chestnut teal
Birds	Anatidae (ducks, geese, and swans)	Auckland teal
Birds	Anatidae (ducks, geese, and swans)	Campbell teal
Birds	Anatidae (ducks, geese, and swans)	Brown teal
Birds	Anatidae (ducks, geese, and swans)	White-cheeked pintail
Birds	Anatidae (ducks, geese, and swans)	Red-billed teal
Birds	Anatidae (ducks, geese, and swans)	Yellow-billed teal
Birds	Anatidae (ducks, geese, and swans)	Yellow-billed pintail
Birds	Anatidae (ducks, geese, and swans)	Andean teal
Birds	Anatidae (ducks, geese, and swans)	Northern pintail
Birds	Anatidae (ducks, geese, and swans)	Eaton's pintail
Birds	Anatidae (ducks, geese, and swans)	Garganey
Birds	Anatidae (ducks, geese, and swans)	Baikal teal
Birds	Anatidae (ducks, geese, and swans)	Eurasian teal
Birds	Anatidae (ducks, geese, and swans)	Green-winged teal
Birds	Anatidae (ducks, geese, and swans)	Silver teal
Birds	Anatidae (ducks, geese, and swans)	Puna teal
Birds	Anatidae (ducks, geese, and swans)	Hottentot teal
Birds	Anatidae (ducks, geese, and swans)	Marbled duck
Birds	Anatidae (ducks, geese, and swans)	Pink-headed duck
Birds	Anatidae (ducks, geese, and swans)	Red-crested pochard
Birds	Anatidae (ducks, geese, and swans)	Rosy-billed pochard
Birds	Anatidae (ducks, geese, and swans)	Southern pochard
Birds	Anatidae (ducks, geese, and swans)	Canvasback
Birds	Anatidae (ducks, geese, and swans)	Redhead
Birds	Anatidae (ducks, geese, and swans)	Common pochard
Birds	Anatidae (ducks, geese, and swans)	Hardhead
Birds	Anatidae (ducks, geese, and swans)	Madagascan pochard
Birds	Anatidae (ducks, geese, and swans)	Baer's pochard
Birds	Anatidae (ducks, geese, and swans)	Ferruginous duck
Birds	Anatidae (ducks, geese, and swans)	New Zealand scaup
Birds	Anatidae (ducks, geese, and swans)	Ring-necked duck
Birds	Anatidae (ducks, geese, and swans)	Tufted duck
Birds	Anatidae (ducks, geese, and swans)	Greater scaup
Birds	Anatidae (ducks, geese, and swans)	Lesser scaup
Birds	Anatidae (ducks, geese, and swans)	Steller's eider
Birds	Anatidae (ducks, geese, and swans)	Spectacled eider
Birds	Anatidae (ducks, geese, and swans)	King eider
Birds	Anatidae (ducks, geese, and swans)	Common eider
Birds	Anatidae (ducks, geese, and swans)	Harlequin duck
Birds	Anatidae (ducks, geese, and swans)	Labrador duck
Birds	Anatidae (ducks, geese, and swans)	Surf scoter
Birds	Anatidae (ducks, geese, and swans)	Velvet scoter
Birds	Anatidae (ducks, geese, and swans)	White-winged scoter
Birds	Anatidae (ducks, geese, and swans)	Common scoter
Birds	Anatidae (ducks, geese, and swans)	Black scoter
Birds	Anatidae (ducks, geese, and swans)	Long-tailed duck
Birds	Anatidae (ducks, geese, and swans)	Bufflehead
Birds	Anatidae (ducks, geese, and swans)	Barrow's goldeneye
Birds	Anatidae (ducks, geese, and swans)	Common goldeneye
Birds	Anatidae (ducks, geese, and swans)	Smew
Birds	Anatidae (ducks, geese, and swans)	Hooded merganser
Birds	Anatidae (ducks, geese, and swans)	Auckland merganser
Birds	Anatidae (ducks, geese, and swans)	Brazilian merganser
Birds	Anatidae (ducks, geese, and swans)	Common merganser
Birds	Anatidae (ducks, geese, and swans)	Red-breasted merganser
Birds	Anatidae (ducks, geese, and swans)	Scaly-sided merganser
Birds	Anatidae (ducks, geese, and swans)	Black-headed duck
Birds	Anatidae (ducks, geese, and swans)	Masked duck
Birds	Anatidae (ducks, geese, and swans)	Ruddy duck
Birds	Anatidae (ducks, geese, and swans)	Lake duck
Birds	Anatidae (ducks, geese, and swans)	Blue-billed duck
Birds	Anatidae (ducks, geese, and swans)	Maccoa duck
Birds	Anatidae (ducks, geese, and swans)	White-headed duck
Birds	Anatidae (ducks, geese, and swans)	Musk duck
Birds	Megapodiidae (megapodes)	Australian brushturkey
Birds	Megapodiidae (megapodes)	Wattled brushturkey
Birds	Megapodiidae (megapodes)	Waigeo brushturkey
Birds	Megapodiidae (megapodes)	Red-billed brushturkey
Birds	Megapodiidae (megapodes)	Black-billed brushturkey
Birds	Megapodiidae (megapodes)	Collared brushturkey
Birds	Megapodiidae (megapodes)	Malleefowl
Birds	Megapodiidae (megapodes)	Maleo
Birds	Megapodiidae (megapodes)	Moluccan megapode
Birds	Megapodiidae (megapodes)	Tongan megapode
Birds	Megapodiidae (megapodes)	Micronesian megapode
Birds	Megapodiidae (megapodes)	Nicobar megapode
Birds	Megapodiidae (megapodes)	Philippine megapode
Birds	Megapodiidae (megapodes)	Sula megapode
Birds	Megapodiidae (megapodes)	Tanimbar megapode
Birds	Megapodiidae (megapodes)	Dusky megapode
Birds	Megapodiidae (megapodes)	Biak scrubfowl
Birds	Megapodiidae (megapodes)	Melanesian megapode
Birds	Megapodiidae (megapodes)	Vanuatu megapode
Birds	Megapodiidae (megapodes)	New Guinea scrubfowl
Birds	Megapodiidae (megapodes)	Orange-footed scrubfowl
Birds	Cracidae (chachalacas, currasows, and guans)	Plain chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Grey-headed chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Chestnut-winged chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Rufous-vented chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Rufous-bellied chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	West Mexican chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Chaco chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	White-bellied chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Speckled chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	East Brazilian chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Scaled chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Colombian chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Little chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Chestnut-headed chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Buff-browed chachalaca
Birds	Cracidae (chachalacas, currasows, and guans)	Band-tailed guan
Birds	Cracidae (chachalacas, currasows, and guans)	Bearded guan
Birds	Cracidae (chachalacas, currasows, and guans)	Baudo guan
Birds	Cracidae (chachalacas, currasows, and guans)	Andean guan
Birds	Cracidae (chachalacas, currasows, and guans)	Marail guan
Birds	Cracidae (chachalacas, currasows, and guans)	Rusty-margined guan
Birds	Cracidae (chachalacas, currasows, and guans)	Red-faced guan
Birds	Cracidae (chachalacas, currasows, and guans)	Crested guan
Birds	Cracidae (chachalacas, currasows, and guans)	Cauca guan
Birds	Cracidae (chachalacas, currasows, and guans)	White-winged guan
Birds	Cracidae (chachalacas, currasows, and guans)	Spix's guan
Birds	Cracidae (chachalacas, currasows, and guans)	Dusky-legged guan
Birds	Cracidae (chachalacas, currasows, and guans)	White-crested guan
Birds	Cracidae (chachalacas, currasows, and guans)	Chestnut-bellied guan
Birds	Cracidae (chachalacas, currasows, and guans)	White-browed guan
Birds	Cracidae (chachalacas, currasows, and guans)	Trinidad piping guan
Birds	Cracidae (chachalacas, currasows, and guans)	Blue-throated piping guan
Birds	Cracidae (chachalacas, currasows, and guans)	Red-throated piping guan
Birds	Cracidae (chachalacas, currasows, and guans)	Black-fronted piping guan
Birds	Cracidae (chachalacas, currasows, and guans)	Wattled guan
Birds	Cracidae (chachalacas, currasows, and guans)	Black guan
Birds	Cracidae (chachalacas, currasows, and guans)	Sickle-winged guan
Birds	Cracidae (chachalacas, currasows, and guans)	Highland guan
Birds	Cracidae (chachalacas, currasows, and guans)	Horned guan
Birds	Cracidae (chachalacas, currasows, and guans)	Nocturnal curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Crestless curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Salvin's curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Razor-billed curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Alagoas curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Helmeted curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Horned curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Sira curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Great curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Blue-billed curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Yellow-knobbed curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Black curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Wattled curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Bare-faced curassow
Birds	Cracidae (chachalacas, currasows, and guans)	Red-billed curassow
Birds	Numididae (guineafowl)	White-breasted guineafowl
Birds	Numididae (guineafowl)	Black guineafowl
Birds	Numididae (guineafowl)	Helmeted guineafowl
Birds	Numididae (guineafowl)	Plumed guineafowl
Birds	Numididae (guineafowl)	Crested guineafowl
Birds	Numididae (guineafowl)	Vulturine guineafowl
Birds	Odontophoridae (New World quail)	Stone partridge
Birds	Odontophoridae (New World quail)	Nahan's partridge
Birds	Odontophoridae (New World quail)	Bearded wood partridge
Birds	Odontophoridae (New World quail)	Long-tailed wood partridge
Birds	Odontophoridae (New World quail)	Buffy-crowned wood partridge
Birds	Odontophoridae (New World quail)	Mountain quail
Birds	Odontophoridae (New World quail)	Scaled quail
Birds	Odontophoridae (New World quail)	Elegant quail
Birds	Odontophoridae (New World quail)	California quail
Birds	Odontophoridae (New World quail)	Gambel's quail
Birds	Odontophoridae (New World quail)	Northern bobwhite
Birds	Odontophoridae (New World quail)	Yucatan bobwhite
Birds	Odontophoridae (New World quail)	Spot-bellied bobwhite
Birds	Odontophoridae (New World quail)	Crested bobwhite
Birds	Odontophoridae (New World quail)	Marbled wood quail
Birds	Odontophoridae (New World quail)	Spot-winged wood quail
Birds	Odontophoridae (New World quail)	Black-eared wood quail
Birds	Odontophoridae (New World quail)	Rufous-fronted wood quail
Birds	Odontophoridae (New World quail)	Black-fronted wood quail
Birds	Odontophoridae (New World quail)	Chestnut wood quail
Birds	Odontophoridae (New World quail)	Dark-backed wood quail
Birds	Odontophoridae (New World quail)	Rufous-breasted wood quail
Birds	Odontophoridae (New World quail)	Tacarcuna wood quail
Birds	Odontophoridae (New World quail)	Gorgeted wood quail
Birds	Odontophoridae (New World quail)	Venezuelan wood quail
Birds	Odontophoridae (New World quail)	Black-breasted wood quail
Birds	Odontophoridae (New World quail)	Stripe-faced wood quail
Birds	Odontophoridae (New World quail)	Starred wood quail
Birds	Odontophoridae (New World quail)	Spotted wood quail
Birds	Odontophoridae (New World quail)	Singing quail
Birds	Odontophoridae (New World quail)	Montezuma quail
Birds	Odontophoridae (New World quail)	Ocellated quail
Birds	Odontophoridae (New World quail)	Tawny-faced quail
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Wild turkey
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Ocellated turkey
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Ruffed grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Hazel grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Chinese grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Siberian grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Spruce grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Western capercaillie
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Black-billed capercaillie
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Black grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Caucasian grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Greater sage-grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Gunnison sage-grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Dusky grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Sooty grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Sharp-tailed grouse
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Lesser prairie chicken
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Greater prairie chicken
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	White-tailed ptarmigan
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Rock ptarmigan
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Willow ptarmigan
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Snow partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Verreaux's monal-partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Szechenyi's monal-partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Caucasian snowcock
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Caspian snowcock
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Himalayan snowcock
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Tibetan snowcock
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Altai snowcock
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Rock partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Chukar partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Przevalski's partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Philby's partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Barbary partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Red-legged partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Arabian partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	See-see partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Sand partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Black francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Painted francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Chinese francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Grey francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Swamp francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Latham's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Coqui francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	White-throated francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Schlegel's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Ring-necked francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Grey-winged francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Red-winged francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Finsch's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Shelley's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Moorland francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Orange River francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Crested francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Scaly francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Ahanta francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Grey-striped francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Hildebrandt's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Double-spurred francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Heuglin's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Clapperton's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Harwood's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Swierstra's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Mount Cameroon francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Handsome francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Jackson's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Chestnut-naped francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Djibouti francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Erckel's francolin
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Hartlaub's spurfowl
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Red-billed spurfowl
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Cape spurfowl
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Natal spurfowl
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Yellow-necked spurfowl
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Grey-breasted spurfowl
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Red-necked spurfowl
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Swainson's spurfowl
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Grey partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Daurian partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Tibetan partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Long-billed partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Hose's partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Madagascan partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Black partridge
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Common quail
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Japanese quail
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Rain quail
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Harlequin quail
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Stubble quail
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	New Zealand quail
Birds	Phasianidae (Pheasants, turkeys, francolin, and allies)	Brown quail
