source	name	description
Mythical Creatures	Sirens 	Man-eating beautiful women whose song compels men to them.
Mythical Creatures	Sphinx	The half-human, half-lion that forces those it meets to answer its riddles, or die.
Mythical Creatures	Sprite	A category of elemental, fairy-like spirits, invisible to humans (a Sylph is one of these).
Mythical Creatures	Sylph	An invisible, fairy-like being dedicated to the element of air.
Mythical Creatures	Thunderbird 	A giant bird that creates storms with its wings.
Mythical Creatures	Typhon 	The fire-breathing giant who challenged Zeus for control of Mount Olympus. Also the father of most Greek monsters.
Mythical Creatures	Unicorn 	A magical horse with a single horn on its forehead.
Mythical Creatures	Valkyries	Mythical Norse female divinities who choose heroes to die in battle and carry them to the great Valhalla.
Mythical Creatures	Vampire 	Legend's most charming bloodsucker gets a whole section of this website all to itself.
Mythical Creatures	Wendigo 	An evil spirit that possesses humans and turns them into cannibals.
Mythical Creatures	Will-o'-the-wisp 	Strange flame-like lights that seem to beckon travelers to follow.
Mythical Creatures	Werewolf 	Human by day, wolf by night.
Mythical Creatures	Wraith	Evil spirits of the dead who are trapped on Earth.
Mythical Creatures	Zombie 	The living dead who feed on human flesh.
